Department,Employer Interest Index (for Department)
İşletme Mühendisliği,86.8
Matematik Mühendisliği,83.9
İşletme (Almanca),74.3
İşletme Enformatiği,64.9
Ekonomi - Yönetim Bilimleri Programları,64.5
Kontrol ve Otomasyon Mühendisliği,63.4
Endüstri Sistemleri Mühendisliği,59.7
Bilgisayar Mühendisliği,59.6
İletişim,59.1
Endüstri Mühendisliği,58.6
Yazılım Mühendisliği,58.0
İspanyol Dili ve Edebiyatı,56.7
İşletme - Ekonomi,56.6
Mütercim-Tercümanlık (Çince),55.6
Bilişim Sistemleri ve Teknolojileri,55.2
Elektronik ve Haberleşme Müh.,55.0
Elektronik Mühendisliği,54.0
Kimya - Biyoloji Mühendisliği,53.6
Elektrik Mühendisliği,53.1
Ekonomi,53.0
Sigortacılık,52.9
İşletme (İngilizce),51.4
Çeviribilim,50.7
Sermaye Piyasası,50.6
İtalyan Dili ve Edebiyatı,50.6
Mütercim-Tercümanlık (Rusça),50.4
Görsel İletişim (MYO),50.3
İşletme Yönetimi,50.2
Halkla İlişkiler,50.0
Tekstil Mühendisliği,49.4
Mütercim-Tercümanlık (Almanca),48.9
Mütercim-Tercümanlık (İngilizce),48.8
Ulaştırma ve Lojistik,48.7
Endüstriyel Tasarım,48.5
Aktüerya,48.0
İktisat (İngilizce),47.8
Bilgisayar Teknolojisi ve Bilişim Sistemleri,47.2
Küresel ve Uluslararası İlişkiler,47.1
Avrupa Birliği İlişkileri,47.0
Mütercim-Tercümanlık (Fransızca),46.4
Uluslararası Lojistik ve Taşımacılık,46.4
Görsel Sanatlar ve Görsel İletişim Tasarımı,46.3
Siyaset Bilimi,46.2
Bilişim Sistemleri Mühendisliği,45.8
Turizm ve Otel İşletmeciliği (MYO),45.3
Kimya Mühendisliği,44.9
Endüstri Ürünleri Tasarımı,44.9
Uluslararası Finans,44.8
Amerikan Kültürü ve Edebiyatı,44.6
Reklam Tasarımı ve İletişimi,44.6
İnsan Kaynakları Yönetimi,44.2
Uluslararası Ticaret ve İşletmecilik,43.1
İletişim ve Tasarım,42.8
Fransız Dili ve Edebiyatı,42.8
Uluslararası Ticaret,42.3
Muhasebe ve Denetim,42.2
Bilgisayar ve Öğretim Teknolojileri Öğr.,42.2
Cevher Hazırlama Mühendisliği,42.1
Konaklama İşletmeciliği,42.0
Grafik Tasarımı,41.9
Görsel İletişim Tasarımı,41.8
İngiliz Dili ve Edebiyatı,41.1
İletişim Sanatları,41.1
Metalurji ve Malzeme Mühendisliği,41.0
Su Bilimleri Mühendisliği,41.0
"Turizm, Otelcilik",40.9
Alman Dili ve Edebiyatı,40.8
İletişim Tasarımı,40.5
Yönetim Bilişim Sistemleri,40.5
Makine Mühendisliği,40.5
Eski Yunan Dili ve Edebiyatı,40.4
Gemi ve Deniz Teknolojisi Mühendisliği,40.3
Japon Dili ve Edebiyatı,40.2
Kimya ve Süreç Mühendisliği,40.0
Latin Dili ve Edebiyatı,39.9
Tekstil Tasarımı,39.9
Seyahat İşletmeciliği,39.7
Elektrik/Elektronik Mühendisliği,39.5
Gemi İnşaatı ve Gemi Makineleri Mühendisliği,39.4
Çağdaş Yunan Dili ve Edebiyatı,39.3
Medya ve İletişim,39.3
Polimer Mühendisliği,39.3
Havacılık ve Uzay Mühendisliği,39.2
Fransızca Öğretmenliği,39.1
