total_participants, male, female 
1.292, 72.6, 27.4
784, 34.2, 65.8
153, 48.5, 51.4
837, 57.2, 42.8
9.500, 34.4, 65.6
10.989, 51.8, 48.2
229, 71.4, 29.5
-, -, -
62, 69.3, 30.7
-, -, -
70, 77.3, 22.7
107, 61.8, 38.2
137, 86.8, 13.3
467, 78.8, 21.2
421, 72.2, 27.8
-, -, -
-, -, -
137, 76.6, 23.4
15.150, 86, 14
275, 77.5, 22.5
535, 88, 12
559, 27.8, 72.1
1.207, 65.6, 34.4
1.340, 55.4, 44.6
1.071, 54.3, 45.8
274, 25.9, 74.1
110.627, 45.3, 54.7
36.584, 52.9, 47.1
22.220, 63.6, 36.4
1.847, 23.3, 76.7
124, 75.6, 24.4
52, 46.3, 53.7
-, -, -
930, 35.8, 64.2
14.616, 74, 27.7
65, 94.8, 5.2
57, 69.7, 30.3
4.034, 18.5, 81.4
-, -, -
201, 75.1, 24.9
636, 81.7, 18.3
74, 75.8, 24.2
88, 75.7, 24.3
2.578, 84.6, 15.3
6.130, 29.7, 70.4
1.042, 67.1, 33
3.823, 46.8, 53.2
113, 49.6, 50.4
54, 38.9, 61.1
103, 28.1, 71.8
-, -, -
-, -, -
335, 48.4, 51.6
1.152, 47.9, 52
563, 8.9, 91.1
28.783, 7.4, 92.6
260, 18.7, 81.3
51, 87.3, 12.8
260, 52.2, 47.8
226, 27.5, 72.5
6.904, 33.5, 66.5
2.864, 36.1, 63.9
110, 46.1, 53.9
460, 53.3, 46.8
3.088, 54.1, 45.8
455, 47.3, 52.7
212, 80.1, 20
9.275, 60.9, 39.1
113, 93, 7.1
1.026, 96.3, 3.8
395, 95.2, 4.8
-, -, -
-, -, -
498, 79.5, 20.5
70, 56.4, 43.6
-, -, -
1.303, 39.3, 60.7
-, -, -
1.180, 74.5, 25.5
5.730, 73.5, 26.5
1.230, 76.3, 23.8
840, 68, 32
822, 57.1, 42.9
1.694, 58.3, 41.6
2.845, 50.7, 49.4
630, 82.2, 17.8
2.044, 72.2, 27.7
540, 54.9, 45.1
1.238, 43.5, 56.5
-, -, -
-, -, -
719, 51.5, 48.5
1.162, 56.5, 43.5
362, 50, 50
141, 52.6, 47.4
103, 82, 18
213, 86.5, 13.6
37.920, 21.9, 78.2
283, 77.1, 22.8
409, 98.8, 1.1
-, -, -
3.337, 90.9, 9
24.088, 62.2, 37.8
7.190, 84.5, 15.5
98, 79.6, 20.4
127, 94.6, 5.4
106, 39.6, 60.3
20.908, 31.9, 68.1
2.023, 37.3, 62.6
532, 57.8, 42.3
119, 64.6, 35.4
2.739, 64.9, 35.1
90, 40.2, 59.8
95, 59.5, 40.5
933, 85.1, 15
677, 97.6, 2.4
1.933, 95, 5
1.072, 94.7, 5.3
5.309, 96, 5.8
1.449, 94.7, 5.3
132, 10, 89.9
738, 64.6, 35.4
370, 72, 27.9
1.169, 36.1, 63.9
-, -, -
1.523, 30.8, 69.1
-, -, -
270, 11.5, 88.6
2.022, 39.5, 60.5
2.499, 90.1, 9.9
16.518, 59.1, 40.9
680, 65.8, 34.2
12.889, 80.9, 19.2
433, 49.2, 50.8
-, -, -
430, 27, 73
327, 30.8, 69.2
330, 78.7, 21.4
584, 50.4, 49.6
204, 92.1, 7.9
207, 78.3, 21.7
654, 6.5, 93.5
349, 64.4, 35.5
80, 87.5, 12.6
130, 81.9, 18.1
1.582, 12.5, 87.6
8.272, 52.2, 47.8
884, 80, 20
-, -, -
84, 46.4, 53.6
211, 21.6, 78.4
1.161, 90.7, 9.4
1.421, 82.6, 17.4
-, -, -
1.827, 49.5, 50.7
-, -, -
-, -, -
328, 77, 23
1.881, 72.8, 28.6
13.605, 55.5, 44.5
