job_name, mean_salary, max_salary, min_salary, first_grad, second_grad, third_grad, fourth_grad, fiveth_grad, first_department, second_department, third_department, fourth_department, fiveth_department, first_school, second_school, third_school, fourth_school, fiveth_school, first_skill, second_skill, third_skill, fourth_skill, fiveth_skill, number_of_entries 
A Sýnýfý Ýþ Güvenliði Uzmaný, 4.950, 2.030, 7.870,Maden Mühendisliði, Makine Mühendisliði, Kimya, Jeoloji Mühendisliði, Çevre Mühendisliði, Çevre, Saðlýk, Yapý, Hizmet, Güvenlik, Hacettepe Üniversitesi, Ýstanbul Teknik Üniversitesi (ÝTÜ), Ege Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Çukurova Üniversitesi, AutoCAD,GSM,ISO 14001,ISO 9001,ISO 9001:2000,304,
AB Proje Asistaný, 4.110, 2.250, 7.380,Uluslararasý Ýliþkiler, Ýþletme, Siyaset Bilimi ve Kamu Yönetimi, Biyoloji, Sosyoloji, Danýþmanlýk, Eðitim, Yapý, Topluluklar, Hizmet, Hacettepe Üniversitesi, Anadolu Üniversitesi, Orta Doðu Teknik Üniversitesi (ODTÜ), Ýhsan Doðramacý Bilkent Üniversitesi, Ege Üniversitesi, Adobe Photoshop,Ansys Workbench,AutoCAD,C#,C++,27,
AB Proje Geliþtirme Uzmaný, 5.650, 3.500, 9.440,Uluslararasý Ýliþkiler, Makine-Resim-Konstrüksiyon (MYO), Ýþletme, Çalýþma Ekonomisi ve Endüstri Ýliþkileri, Ýktisat, Danýþmanlýk, Yapý, Eðitim, Maden ve Metal Sanayi, Taþýmacýlýk, Karadeniz Teknik Üniversitesi (KTÜ), Anadolu Üniversitesi, Ankara Üniversitesi, Ege Üniversitesi, Orta Doðu Teknik Üniversitesi (ODTÜ), APQP,AutoCAD,ISO 9001:2000,Ýhracat iþlemleri,Maliyet Analizleri,9,
Acente Temsilcisi, 3.610, 2.020, 6.160,Ýþletme, Turizm ve Seyahat Ýþletmeciliði (MYO), Seyahat Ýþletmeciliði, Turizm ve Otel Ýþletmeciliði (MYO), Seyahat Ýþletmeciliði ve Turizm Rehberliði, Turizm, Sigortacýlýk, Taþýmacýlýk, Hizmet, Finans - Ekonomi, Anadolu Üniversitesi, Muðla Üniversitesi, Çanakkale 18 Mart Üniversitesi, Adnan Menderes Üniversitesi, Balýkesir Üniversitesi, Maliyet Muhasebesi,Satýþ Yönetimi,-, -, -, 29,
Acil Servis Hemþiresi, 2.700, 2.020, 3.430,Ýlk ve Acil (Paramedik), Hemþirelik, Hemþirelik ve Saðlýk Hizmetleri, Hemþirelik (MYO), Acil Yardým Teknikerliði (MYO), Saðlýk, Hizmet, Sigortacýlýk, Biliþim, Eðitim, Anadolu Üniversitesi, Üsküdar Üniversitesi , Ýstanbul Medipol Üniversitesi , Marmara Üniversitesi, Sakarya Üniversitesi, Ýþçi Saðlýðý ve Ýþ Güvenliði,Kan Alma,-, -, -, 96,
Acil Týp Teknisyeni, 2.570, 2.020, 3.170,Ýlk ve Acil (Paramedik), Acil Yardým Teknikerliði (MYO), Acil Yardým ve Afet Yönetimi, Saðlýk Kurumlarý Ýþletmeciliði, Ýþ Saðlýðý ve Güvenliði (MYO), Saðlýk, Hizmet, Sigortacýlýk, Çevre, Yapý, Anadolu Üniversitesi, Atatürk Üniversitesi, Üsküdar Üniversitesi , Ýstanbul Medipol Üniversitesi , Kocaeli Üniversitesi, Ýþçi Saðlýðý ve Ýþ Güvenliði,-, -, -, -, 116,
Acil Týp Uzmaný, 12.300, 8.000, 18.040,Týp, Acil Yardým ve Afet Yönetimi, Saðlýk Kurumlarý Ýþletmeciliði, Taký Tasarýmý, Adalet (MYO), Saðlýk, Hizmet, Çevre, Sigortacýlýk, Biliþim, Ondokuz Mayýs Üniversitesi, Uludað Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Gülhane Askeri Týp Akademisi, Ege Üniversitesi, SPSS,-, -, -, -, 18,
Adli Týp Uzmaný, 10.500, 4.500, 22.980,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 3,
Aerodinamik Mühendisi, 6.400, 3.350, 9.460,Makine Mühendisliði, Uçak Mühendisliði, Uzay Mühendisliði, Havacýlýk ve Uzay Mühendisliði, Gemi Ýnþaatý ve Gemi Makineleri Mühendisliði, Üretim / Endüstriyel Ürünler, Havacýlýk, Hizmet, Enerji, Otomotiv, Ýstanbul Teknik Üniversitesi (ÝTÜ), Orta Doðu Teknik Üniversitesi (ODTÜ), Manisa Celal Bayar Üniversitesi, TOBB Ekonomi ve Tek. Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), ABAQUS,Ansys Fluent,Ansys Workbench,AutoCAD,CATIA,23,
Að Geliþtirme Müdürü, 7.530, 3.000, 12.680,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 8,
Að Kurulum Mühendisi, 4.580, 2.370, 6.940,Bilgisayar Mühendisliði, Elektronik ve Haberleþme Müh., Elektrik/Elektronik Mühendisliði, Bilgisayar Sistem ve Aðlarý, Ýþletme, Biliþim, Telekomünikasyon, Hizmet, Gýda, Turizm, Süleyman Demirel Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), Anadolu Üniversitesi, Çukurova Üniversitesi, Ankara Üniversitesi, C#,C++,Cisco Routers,Delphi,Görüntü Ýþlemleme,15,
Að Mimarý, -, -, -, Mimarlýk, Elektrik/Elektronik Mühendisliði, Elektronik Mühendisliði, Elektronik ve Haberleþme Müh., Ýnþaat Teknolojisi, Yapý, Telekomünikasyon, Biliþim, Hizmet, Kimya, Ýstanbul Teknik Üniversitesi (ÝTÜ), Sakarya Üniversitesi, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Maltepe Üniversitesi, 3D Max,Adobe Photoshop,AutoCAD,Bilanço analizi,Bilgisayar Destekli Tasarým Araçlarý,-,
Að Sistemleri Destek Mühendisi, 4.220, 2.500, 6.400,Elektronik ve Haberleþme Müh., Elektrik/Elektronik Mühendisliði, Bilgisayar Mühendisliði, Elektronik Haberleþme (MYO), Biliþim Sistemleri Mühendisliði, Biliþim, Telekomünikasyon, Hizmet, Elektrik & Elektronik, Finans - Ekonomi, Süleyman Demirel Üniversitesi, Kocaeli Üniversitesi, Namýk Kemal Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Yýldýz Teknik Üniversitesi (YTÜ), C#,C++,Cisco Routers,DHCP,IP,9,
Að ve Siber Güvenlik Uzmaný, 5.770, 2.500, 9.100,Bilgisayar Mühendisliði, Elektrik/Elektronik Mühendisliði, Elektronik ve Haberleþme Müh., Bilgisayar Teknolojisi ve Programlama (MYO), Ýþletme, Biliþim, Güvenlik, Telekomünikasyon, Hizmet, Finans - Ekonomi, Orta Doðu Teknik Üniversitesi (ODTÜ), Anadolu Üniversitesi, Süleyman Demirel Üniversitesi, Kocaeli Üniversitesi, Sakarya Üniversitesi, C,C#,C++,Cisco Routers,DHCP,59,
Að Yöneticisi, 5.750, 2.500, 9.050,Ýþletme, Ýktisat, Kamu Yönetimi, Elektrik/Elektronik Mühendisliði, Bilgisayar Mühendisliði, Biliþim, Yapý, Eðitim, Hizmet, Gýda, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Erciyes Üniversitesi, Uludað Üniversitesi, Ýstanbul Teknik Üniversitesi (ÝTÜ), Cisco Routers,Ýnsan Kaynaklarý Yönetimi,LAN (Local Area Network),Linux,Sosyal Medya Yönetimi,13,
Aðaç Ýþleri Endüstri Mühendisi, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Aðaç Ýþleri Mühendisi, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Aðaç Ýþleri Teknikeri, -, -, -, Mobilya ve Dekorasyon (MYO), Aðaç Ýþleri (MYO), Ormancýlýk (MYO), Ýþletme, Ýç Mekan Tasarýmý, Mobilya & Aksesuar, Orman Ürünleri, Yapý, Ofis / Büro Malzemeleri, Tarým / Ziraat, Çanakkale 18 Mart Üniversitesi, Gaziosmanpaþa Üniversitesi, Bartýn Üniversitesi, Afyon Kocatepe Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Adobe Fireworks,Ansys Workbench,AutoCAD,Autodesk,Autodesk Inventor,-,
Aðýr Vasýta Þoförü, 3.180, 2.100, 4.250,Ýþletme, Kamu Yönetimi, Otomotiv (MYO), Muhasebe, Makine (MYO), Taþýmacýlýk, Yapý, Gýda, Hizmet, Maden ve Metal Sanayi, Anadolu Üniversitesi, Atatürk Üniversitesi, Kocaeli Üniversitesi, Süleyman Demirel Üniversitesi, Abant Ýzzet Baysal Üniversitesi, Forklift Operatörü,Psikoteknik,Src 2,Src 4,SRC4,261,
Ahþap Doðrama Ustasý, -, -, -, Mobilya ve Dekorasyon (MYO), Ormancýlýk (MYO), Ýþletme, Görsel Sanatlar ve Görsel Ýletiþim Tasarýmý, Halkla Ýliþkiler ve Tanýtým (MYO), Mobilya & Aksesuar, Orman Ürünleri, Yapý, Biliþim, Üretim / Endüstriyel Ürünler, Çukurova Üniversitesi, Akdeniz Üniversitesi, Gaziosmanpaþa Üniversitesi, Nevþehir Üniversitesi, Ýskenderun Teknik Üniversitesi, Elektrik,Elektronik,Makine Teknikeri,MOBÝLYA MONTAJ,Müþteri Hizmetleri Operasyon Yönetimi,-,
Ahþap Ustasý, 6.420, 3.000, 11.050,Mobilya ve Dekorasyon (MYO), Ýþletme, Ýnþaat (MYO), Ýktisat, Mobilya ve Ýç Mekan Tasarýmý, Mobilya & Aksesuar, Yapý, Orman Ürünleri, Üretim / Endüstriyel Ürünler, Ofis / Büro Malzemeleri, Anadolu Üniversitesi, Selçuk Üniversitesi, Kahramanmaraþ Sütçü Ýmam Üniversitesi, Sakarya Üniversitesi, Pamukkale Üniversitesi, Adobe Photoshop,Cnc Torna,Üst Yapý Ýnþaatlarý,-, -, 10,
Aile Danýþmaný, 3.340, 2.500, 4.360,Sosyoloji, Psikoloji, Sosyal Hizmetler, Sosyal Hizmet, Rehberlik ve Psikolojik Danýþmanlýk, Danýþmanlýk, Eðitim, Saðlýk, Hizmet, Turizm, Anadolu Üniversitesi, Selçuk Üniversitesi, Uludað Üniversitesi, Dumlupýnar Üniversitesi, Cumhuriyet Üniversitesi, SPSS,-, -, -, -, 7,
Aile Hekimi, 9.470, 6.000, 13.570,Týp, Saðlýk Kurumlarý Ýþletmeciliði, Saðlýk Eðitimi, Endüstri ve Sistem Mühendisliði, Psikoloji, Saðlýk, Hizmet, Sigortacýlýk, Çevre, Güvenlik, Ýstanbul Üniversitesi (ÝÜ), Ege Üniversitesi, Trakya Üniversitesi, Uludað Üniversitesi, Çukurova Üniversitesi, ÝSÝG (Ýþçi Saðlýðý ve Ýþ Güvenliði) Mevzuatý,Ýþçi Saðlýðý ve Ýþ Güvenliði,-, -, -, 19,
Akademik Personel, 5.310, 3.800, 7.720,Ýþletme, Bankacýlýk ve Sigortacýlýk (MYO), Bankacýlýk ve Sigortacýlýk, Kamu Yönetimi, Ýktisat, Eðitim, Ticaret, Gýda, Hizmet, Saðlýk, Anadolu Üniversitesi, Selçuk Üniversitesi, Marmara Üniversitesi, Süleyman Demirel Üniversitesi, Ege Üniversitesi, C#,C++,Elektrik Motorlarý,Elektrik/Elektronik,Elektronik Devre Dizayný,4,
Akademisyen, 5.720, 3.440, 8.010,Ýþletme, Makine Mühendisliði, Kimya, Biyoloji, Elektrik/Elektronik Mühendisliði, Eðitim, Saðlýk, Hizmet, Yapý, Biliþim, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Anadolu Üniversitesi, Hacettepe Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), Adobe Illustrator,AutoCAD,C++,Elektrik/Elektronik,Ýnsan Kaynaklarý Yönetimi,13,
Aksesuar Tasarýmcýsý, 4.020, 2.500, 6.650,Moda Tasarýmý, Moda ve Tekstil Tasarýmý, Kuyumculuk ve Taký Tasarýmý (MYO), Moda Tasarýmý (MYO), Grafik (MYO), Tekstil, Maden ve Metal Sanayi, Mobilya & Aksesuar, Üretim / Endüstriyel Ürünler, Otomotiv, Dokuz Eylül Üniversitesi, Anadolu Üniversitesi, Ýstanbul Aydýn Üniversitesi, Marmara Üniversitesi, Giresun Üniversitesi, Adobe Illustrator,Adobe Photoshop,AutoCAD,CorelDraw,El Çizimi,4,
Aktif Satýþ Danýþmaný, 2.580, 2.020, 3.220,Ýþletme, Ýktisat, Dýþ Ticaret (MYO), Kamu Yönetimi, Ýþletme Yönetimi, Tekstil, Ticaret, Ev Eþyalarý, Gýda, Telekomünikasyon, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Selçuk Üniversitesi, Kocaeli Üniversitesi, Atatürk Üniversitesi, AutoCAD,Satýþ Yönetimi,-, -, -, 449,
Aktif Satýþ Elemaný, 2.700, 2.020, 3.470,Ýþletme, Ýktisat, Kamu Yönetimi, Dýþ Ticaret (MYO), Maliye, Tekstil, Gýda, Ticaret, Saðlýk, Hizmet, Anadolu Üniversitesi, Selçuk Üniversitesi, Kocaeli Üniversitesi, Süleyman Demirel Üniversitesi, Atatürk Üniversitesi, AutoCAD,Satýþ Yönetimi,-, -, -, 200,
Aktif Satýþ Temsilcisi, 3.150, 2.020, 4.500,Ýþletme, Ýktisat, Kamu Yönetimi, Dýþ Ticaret (MYO), Maliye, Gýda, Tekstil, Saðlýk, Telekomünikasyon, Hizmet, Anadolu Üniversitesi, Süleyman Demirel Üniversitesi, Selçuk Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Kocaeli Üniversitesi, AutoCAD,Genel Muhasebe,Muhasebe,Satýþ Yönetimi,-, 233,
Aktivasyon Elemaný, 2.390, 2.020, 2.790,Ýþletme, Bilgisayar Teknolojisi ve Programlama (MYO), Muhasebe (MYO), Kamu Yönetimi, Ýktisat, Telekomünikasyon, Biliþim, Hizmet, Ýletiþim Danýþmanlýðý, Reklam ve Tanýtým, Anadolu Üniversitesi, Kocaeli Üniversitesi, Süleyman Demirel Üniversitesi, Dumlupýnar Üniversitesi, Afyon Kocatepe Üniversitesi, BÜRO YÖNETÝMÝ VE SEKRETERLÝK,Müþteri Hizmetleri Operasyon Yönetimi,Satýþ Yönetimi,Telekomünikasyon,-, 14,
Aktivite Müdürü, 3.880, 2.500, 6.040,Ýþletme, Turizm ve Otel Ýþletmeciliði (MYO), Ýktisat, Konaklama ve Turizm Ýþletmeciliði, Uluslararasý Ýliþkiler, Turizm, Eðlence - Kültür - Sanat, Gýda, Hizmet, Reklam ve Tanýtým, Anadolu Üniversitesi, Selçuk Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Mersin Üniversitesi, Abant Ýzzet Baysal Üniversitesi, Müþteri Hizmetleri Operasyon Yönetimi,-, -, -, -, 14,
Aktüer, 4.200, 2.320, 9.020,Aktüerya Bilimleri, Matematik, Ýstatistik, Ýþletme, Fen Bilgisi Öðretmenliði, Sigortacýlýk, Mobilya & Aksesuar, Danýþmanlýk, Üretim / Endüstriyel Ürünler, Saðlýk, Hacettepe Üniversitesi, Boðaziçi Üniversitesi, Marmara Üniversitesi, Orta Doðu Teknik Üniversitesi (ODTÜ), Anadolu Üniversitesi, C#,C++,Finansal Analiz,Finansal Risk Yönetimi,Genel Muhasebe,7,
Akustik Uzmaný, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Alacak Takip Elemaný, 2.610, 2.020, 3.370,Ýþletme, Adalet Meslek Yüksekokulu (MYO), Adalet (MYO), Bankacýlýk ve Sigortacýlýk (MYO), Ýktisat, Danýþmanlýk, Finans - Ekonomi, Hizmet, Enerji, Elektrik & Elektronik, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Kocaeli Üniversitesi, Sakarya Üniversitesi, Marmara Üniversitesi, Genel Muhasebe,Ön Muhasebe,Photoshop,-, -, 12,
